control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
2019659272,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,104,NO,NA,VN,VN,T,W,C,C,2019-11-21T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,MI,NA,NA,NA
2019659372,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,8673,NO,NA,EC,EC,T,C,C,C,2019-11-21T00:00:00Z,2019,2019-11-21T00:00:00Z,2019,I,NY,NA,NA,NA
2019659439,FEJL,amphibian,Amphibia,Fejervarya,limnocharis,NA,FIELD,FROG,BOD,120,NO,NA,CN,CN,T,W,C,C,2019-11-21T00:00:00Z,2019,2019-11-15T00:00:00Z,2019,I,SF,NA,NA,NA
2019659699,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,FROG,SPE,3,NO,NA,XX,SG,S,W,C,C,2019-11-21T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,ME,NA,NA,NA
2019659741,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,FROG,SPE,1,NO,NA,AU,SG,S,W,C,C,2019-11-21T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,ME,NA,NA,NA
2019660094,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,SPE,225,NO,NA,CN,CN,T,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-19T00:00:00Z,2019,I,CH,NA,NA,NA
2019660095,BGAR,amphibian,Amphibia,Bufo,gargarizans,NA,CHUSAN ISLAND,TOAD,BOD,4,NO,NA,CN,CA,T,W,C,C,2019-11-20T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,BN,NA,NA,NA
2019660119,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,400,NO,NA,SG,SG,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,NY,NA,NA,NA
2019660121,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,FROG,LIV,560,NO,NA,HK,HK,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,NY,NA,NA,NA
2019660125,AGCL,amphibian,Amphibia,Agalychnis,callidryas,NA,RED-EYED LEAF,FROG,LIV,1000,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660125,DPUM,amphibian,Amphibia,Oophaga,pumilio,NA,STRAWBERRY,POISON-ARROW FROG,LIV,145,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660125,DEAU,amphibian,Amphibia,Dendrobates,auratus,NA,GREEN,POISON-ARROW FROG,LIV,135,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660125,HFLE,amphibian,Amphibia,Hyalinobatrachium,fleischmanni,NA,FLEISCHMANNS GLASS,FROG,LIV,250,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660125,HYEB,amphibian,Amphibia,Hyla,ebraccata,NA,HOURGLASS TREE,FROG,LIV,100,NO,NA,NI,NI,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660138,RPAR,amphibian,Amphibia,Rhacophorus,pardalis,NA,PANTHER FLYING,FROG,BOD,10,NO,NA,ID,ID,T,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019660138,DUME,amphibian,Amphibia,Duttaphrynus,melanostictus,NA,COMMON INDIAN,TOAD,BOD,1,NO,NA,ID,ID,T,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-20T00:00:00Z,2019,I,NY,NA,NA,NA
2019660238,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,40,NO,NA,VN,VN,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660238,RLEU,amphibian,Amphibia,Rhacophorus,leucomystax,NA,FLYING,FROG,LIV,40,NO,NA,VN,VN,T,C,C,C,2019-11-22T00:00:00Z,2019,2019-11-22T00:00:00Z,2019,I,MI,NA,NA,NA
2019660246,HYMB,amphibian,Amphibia,Hymenochirus,boettgeri,NA,ZAIRE DWARF CLAWED,FROG,LIV,62,NO,NA,ID,ID,T,F,C,C,2019-11-22T00:00:00Z,2019,2019-11-21T00:00:00Z,2019,I,SF,NA,NA,NA
2019660300,DUME,amphibian,Amphibia,Duttaphrynus,melanostictus,NA,COMMON INDIAN,TOAD,BOD,10,NO,NA,ID,ID,T,W,C,C,2019-11-22T00:00:00Z,2019,2019-11-09T00:00:00Z,2019,I,MI,NA,NA,NA
