control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
NA,AGCL,amphibian,Amphibia,Agalychnis,callidryas,NA,RED-EYED TREE,FROG,LIV,100,NO,NA,NI,NI,T,W,C,C,1999-07-27,1999,1999-07-22,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1400,NO,NA,SG,SG,T,W,C,C,1999-07-31,1999,1999-07-31,1999,I,LA,NA,NA,NA
NA,CYOR,amphibian,Amphibia,Cynops,orientalis,NA,CHINESE DWARF,NEWT,LIV,6000,NO,NA,CN,CN,T,C,C,C,1999-07-27,1999,1999-07-27,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LEG,3240,NO,NA,VN,VN,T,U,C,C,1999-07-30,1999,1999-07-29,1999,I,LA,NA,NA,NA
NA,LICA,amphibian,Amphibia,Litoria,caerulea,NA,WHITE'S TREE,FROG,LIV,536,NO,NA,ID,ID,T,W,C,C,1999-06-19,1999,1999-06-19,1999,I,LA,NA,NA,NA
NA,HRL?,amphibian,Amphibia,Hyperolius,sp.,NA,REED,FROG,LIV,100,NO,NA,TZ,TZ,T,W,C,C,1999-06-28,1999,1999-06-28,1999,I,LA,NA,NA,NA
NA,RANA,amphibian,Amphibia,Rana,sp.,NA,NA,FROG,LIV,90,NO,NA,VN,VN,T,W,C,C,1999-08-02,1999,1999-08-02,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1500,NO,NA,SG,SG,T,W,C,C,1999-06-26,1999,1999-06-26,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,3200,NO,NA,HK,HK,T,W,C,C,1999-06-13,1999,1999-06-13,1999,I,LA,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,1600,NO,NA,HK,HK,T,W,C,C,1999-06-13,1999,1999-06-13,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,81343,NO,NA,HK,HK,T,W,C,C,1999-06-27,1999,1999-06-27,1999,I,LA,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,1250,NO,NA,HK,HK,T,W,C,C,1999-06-27,1999,1999-06-27,1999,I,LA,NA,NA,NA
NA,BOMB,amphibian,Amphibia,Bombina,sp.,NA,FIREBELLY,TOAD,LIV,80,NO,NA,HK,HK,T,W,C,C,1999-06-27,1999,1999-06-27,1999,I,LA,NA,NA,NA
NA,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,4000,NO,NA,BR,BR,T,W,C,C,1999-07-15,1999,1999-07-15,1999,I,NY,NA,NA,NA
NA,BMAR,amphibian,Amphibia,Bufo,marinus,NA,NEOTROPICAL,TOAD,LIV,100,NO,NA,DO,DO,non-standard value,W,C,C,1999-08-24,1999,1999-08-24,1999,I,BO,NA,NA,NA
NA,RABE,amphibian,Amphibia,Rana,berlandieri,NA,RIO GRANDE,FROG,LIV,200,KG,NA,MX,MX,T,W,C,C,1999-06-01,1999,1999-06-01,1999,I,BV,NA,NA,NA
NA,RAPI,amphibian,Amphibia,Rana,pipiens,NA,NORTHERN LEOPARD,FROG,LIV,1000,NO,NA,MX,MX,T,W,C,C,1999-06-01,1999,1999-06-01,1999,I,BV,NA,NA,NA
NA,RABE,amphibian,Amphibia,Rana,berlandieri,NA,RIO GRANDE,FROG,LIV,250,NO,NA,MX,MX,T,W,C,C,1999-05-04,1999,1999-05-04,1999,I,BV,NA,NA,NA
NA,TRIT,amphibian,Amphibia,Triturus,sp.,NA,NA,NEWT,LIV,3910,NA,NA,JP,JP,T,W,C,C,1999-06-13,1999,1999-06-13,1999,I,LA,NA,NA,NA
NA,CYPY,amphibian,Amphibia,Cynops,pyrrhogaster,NA,JAPANESE FIREBELLY,NEWT,LIV,450,NO,NA,HK,HK,T,W,C,C,1999-07-27,1999,1999-07-24,1999,I,NY,NA,NA,NA
NA,XELA,amphibian,Amphibia,Xenopus,laevis,NA,AFRICAN CLAWED,TOAD,LIV,1500,NO,NA,HK,HK,T,W,C,C,1999-07-27,1999,1999-07-24,1999,I,NY,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,5000,NO,NA,KR,KR,T,W,C,C,1999-06-12,1999,1999-06-12,1999,I,LA,NA,NA,NA
NA,BOOR,amphibian,Amphibia,Bombina,orientalis,NA,ORIENTAL FIREBELLY,TOAD,LIV,9500,NO,NA,KR,KR,T,W,C,C,1999-06-12,1999,1999-06-12,1999,I,LA,NA,NA,NA
NA,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1500,NO,NA,SG,SG,T,W,C,C,1999-07-03,1999,1999-07-03,1999,I,LA,NA,NA,NA
NA,HYM?,amphibian,Amphibia,Hymenochirus,sp.,NA,DWARF CLAWED,FROG,LIV,500,NO,NA,HK,HK,T,W,C,C,1999-07-04,1999,1999-07-04,1999,I,LA,NA,NA,NA
